id,question,optionA,optionB,optionC,optionD,correct,explanation,refs,image,audio
1,"You are investigating an incident in Microsoft 365 Defender. You need to create an advanced hunting query to count failed sign-in authentications on CFOLaptop, CEOLaptop, and COOLaptop. Which KQL filter should you use?",ActionType == FailureReason,ActionType == "LogonFailed",FailureReason == "LogonFailed",ActionType == "LogonSuccess",B,"Use ActionType == 'LogonFailed'. ActionType only supports LogonSuccess, LogonFailed, LogonAttempted. FailureReason is a different column, not a valid ActionType value.","https://learn.microsoft.com/microsoft-365/security/defender/advanced-hunting-best-practices",,
2,"You are configuring Microsoft Defender for Identity integration with Active Directory. From the Microsoft Defender for Identity portal, you need to configure several accounts for attackers to exploit. Solution: From Entity tags, you add the accounts as Honeytoken accounts. Does this meet the goal?",Yes,No,,,A,"Yes. Honeytoken accounts are decoy accounts configured in Defender for Identity. If attackers try to use them, alerts are triggered.","https://learn.microsoft.com/defender-for-identity/manage-sensitive-honeytoken-accounts",,
3,"You are configuring Microsoft Defender for Identity integration with Active Directory. From the Microsoft Defender for Identity portal, you need to configure several accounts for attackers to exploit. Solution: From Azure AD Identity Protection, configure the sign-in risk policy. Does this meet the goal?",Yes,No,,,B,"No. Azure AD Identity Protection sign-in risk policies help mitigate risky sign-ins, but they don’t configure decoy accounts. Honeytoken accounts are required.","https://learn.microsoft.com/defender-for-identity/manage-sensitive-honeytoken-accounts",,
4,"You are configuring Microsoft Defender for Identity integration with Active Directory. From the Microsoft Defender for Identity portal, you need to configure several accounts for attackers to exploit. Solution: Add the accounts to an Active Directory group and mark the group as Sensitive. Does this meet the goal?",Yes,No,,,B,"No. Sensitive accounts/groups are high-value accounts to monitor closely, not decoys. To lure attackers, you must configure Honeytoken accounts.","https://learn.microsoft.com/defender-for-identity/manage-sensitive-honeytoken-accounts",,
5,"You implement Safe Attachments policies in Microsoft Defender for Office 365. Users report that emails with attachments take longer than expected to arrive. You need to reduce delivery time without compromising security. What should you configure?",Dynamic Delivery,Replace,Block and Enable redirect,Monitor and Enable redirect,A,"Dynamic Delivery delivers the message body immediately with a placeholder for the attachment while Safe Attachments scans it. Once verified safe, the attachment is reattached, minimizing delays.","https://learn.microsoft.com/microsoft-365/security/office-365-security/safe-attachments-policies-configure",,
6,"You are informed of an increase in malicious emails being received by users. You need to create an advanced hunting query to identify if the accounts of the email recipients were compromised. The query must return the most recent 20 sign-ins within an hour of receiving the malicious email.",EmailEvents and take 20,EmailEvents and top 20 by Timestamp,IdentityLogonEvents and take 20,IdentityLogonEvents and top 20 by Timestamp,B,"Use EmailEvents to detect malicious emails and join with IdentityLogonEvents. To get the most recent results, use 'top 20 by Timestamp'.","https://learn.microsoft.com/microsoft-365/security/defender/advanced-hunting-query-emails-devices",,
7,"You receive a security bulletin about an attack using an image file. You need to create an indicator of compromise (IoC) in Microsoft Defender for Endpoint to prevent the attack. Which indicator type should you use?",URL/domain with Alert only,URL/domain with Alert and block,File hash with Alert and block,Certificate with Alert and block,C,"File hash indicators allow you to block malicious files by their unique hash. URL/domain and certificate indicators don’t stop malicious image files directly.","https://learn.microsoft.com/microsoft-365/security/defender-endpoint/manage-indicators",,
8,"You need to provide a security analyst with the ability to use the Microsoft 365 security center and approve/reject pending actions from Microsoft Defender for Endpoint. Principle of least privilege must apply. Which two roles should you assign?",Compliance Data Administrator + Security Admin,Active remediation actions + Security Reader,Security Administrator + Security Reader,Security Reader + Compliance Data Administrator,B,"Active remediation actions lets analysts approve/reject actions in Defender for Endpoint. Security Reader gives them access to the Security Center. This satisfies least privilege.","https://learn.microsoft.com/microsoft-365/security/defender-endpoint/user-roles",,
9,"You need to identify all devices that contain files from a known malicious sender based on SHA256 hash. Which query should you run?",EmailAttachmentInfo + DeviceFileEvents,EmailEvents + DeviceLogonEvents,DeviceNetworkEvents + DeviceFileEvents,EmailEvents + DeviceNetworkEvents,A,"Join EmailAttachmentInfo with DeviceFileEvents on SHA256 to see if files from malicious emails exist on devices.","https://learn.microsoft.com/microsoft-365/security/defender/advanced-hunting-query-emails-devices",,
10,"You need Microsoft Defender for Cloud Apps to alert and trigger remediation when confidential files are shared externally. What should you configure?",Create policy from search + Enable file monitoring,Enable file monitoring + Only scan AIP labels,Enable file monitoring + Auto scan new files,New policy from search + Auto scan new files,C,"Enable file monitoring and auto-scan new files for classification labels in Defender for Cloud Apps. This generates alerts and triggers remediation for external sharing.","https://learn.microsoft.com/defender-cloud-apps/policies-information-protection",,
